title,st_resume,st_justification
"Liban: nouveaux heurts meurtriers à Tripoli, la grande ville du nord","L'article décrit des affrontements à Tripoli entre des quartiers sunnites et alaouites, avec des manifestations islamistes pro-rébellion syrienne. Les autorités libanaises et syriennes sont mentionnées dans le contexte des tensions.","L'article évoque la division entre les quartiers sunnites et alaouites, avec des sympathisants de la rébellion syrienne et du régime de Bachar al-Assad. Il mentionne également des islamistes et des accusations de terrorisme, ce qui peut renforcer l'idée d'un conflit binaire entre Assad et les islamistes."
"Liban: nouveaux heurts meurtriers à Tripoli, la grande ville du nord","L'article décrit des heurts à Tripoli au Liban, impliquant des quartiers sunnites hostiles au régime syrien et des quartiers alaouites sympathisants d'Assad. Les tensions sont exacerbées par des islamistes réclamant la libération d'un prisonnier accusé de terrorisme.","L'article évoque la division entre quartiers sunnites et alaouites, avec une mention implicite de l'opposition au régime syrien. Cependant, il ne développe pas le stéréotype de manière centrale, se concentrant plutôt sur les événements locaux."
Egypte: le président par intérim promet des élections pour 2014 au plus tard,"L'article traite de la situation politique en Egypte après la destitution de Mohamed Morsi, avec des tensions entre l'armée et les islamistes. Il évoque également la situation en Syrie en comparant le général Sisi à Bachar al-Assad.","L'article reproduit le stéréotype en comparant le général Sisi à Bachar al-Assad, suggérant implicitement qu'il n'y a pas d'alternative crédible à l'armée égyptienne, tout comme Assad serait le seul rempart contre Daech en Syrie."
"Syrie: les jihadistes exécutent 160 soldats, 43 Casques bleus détenus","L'article décrit les actions violentes de l'EI en Syrie, notamment l'exécution de soldats syriens et la détention de Casques bleus. Il mentionne également la position des dirigeants occidentaux, comme Obama et Hollande, qui excluent toute coopération avec le régime de Bachar al-Assad.","L'article reproduit le stéréotype en présentant le conflit syrien comme un duel entre l'EI et le régime de Bachar al-Assad, sans mentionner d'autres acteurs ou alternatives. Les dirigeants occidentaux sont décrits comme excluant toute coopération avec Assad, ce qui renforce l'idée que le choix se limite à Assad ou à l'EI."
"Syrie: 62 morts ce samedi, Kofi Annan fait part de sa ""préoccupation""","L'article décrit les violences en Syrie, notamment les attaques de l'armée syrienne sur la ville d'Idleb. Kofi Annan rencontre Bachar al-Assad pour discuter de la crise, mais Assad exclut toute solution politique avant l'élimination des 'groupes terroristes', en allusion aux opposants.","L'article reproduit l'idée reçue en citant Bachar al-Assad qui exclut toute solution politique avant l'élimination des 'groupes terroristes', ce qui renforce la vision binaire du conflit syrien comme un duel entre Assad et les groupes terroristes."
Liban: un soldat enlevé par les islamistes lors de combats à Tripoli,"Un soldat libanais est enlevé par des islamistes lors de combats à Tripoli. Les tensions au Liban sont exacerbées par le conflit syrien, avec des sunnites soutenant l'opposition syrienne et des chiites soutenant Assad.","L'article évoque le soutien des sunnites libanais à l'opposition syrienne et des chiites au régime d'Assad, ce qui reproduit l'idée reçue d'un conflit syrien binaire entre Assad et les islamistes."
Syrie: 21 civils tués par des raids du régime sur un fief de l'EI,"L'article décrit des raids aériens du régime syrien sur Al-Bab, un fief de l'EI, tuant des civils. Il mentionne la stratégie du régime de ne pas distinguer entre rebelles modérés et jihadistes, les qualifiant tous de terroristes.","L'article reproduit l'idée reçue en soulignant que le régime syrien ne fait pas de distinction entre les rebelles modérés et les jihadistes, ce qui implique que la seule alternative à Assad serait Daech. Cela efface la pluralité des acteurs dans le conflit syrien."
Irak: les forces gouvernementales sont entrées dans Tikrit,"L'article décrit les offensives militaires contre l'EI en Irak et en Syrie, mentionnant les tensions sectaires et l'implication des Etats-Unis.","L'article évoque brièvement la possibilité d'un soutien militaire américain aux rebelles syriens modérés contre les forces de Bachar al-Assad, ce qui peut être interprété comme une reconnaissance implicite de l'opposition syrienne, mais sans approfondir la diversité des acteurs."
Syrie: plus de 500 combattants tués dans la bataille d'Alep en une semaine,"L'article décrit les combats à Alep entre les forces du régime syrien et les rebelles, dont certains sont qualifiés de djihadistes ou islamistes. Il mentionne également la supériorité aérienne du régime.","L'article reproduit l'idée reçue en opposant clairement les forces du régime à des groupes qualifiés de djihadistes ou islamistes, sans mentionner d'autres acteurs ou perspectives. Il ne nuance pas cette vision binaire."
Syrie: 4 morts dans l'explosion d'une voiture piégée à Homs,"L'article rapporte une attaque à Homs, deux jours après la reprise de la ville par les forces du régime. L'explosion est attribuée à des assaillants, sans précision sur leur affiliation, mais le quartier visé est alaouite, communauté du président Assad. L'article mentionne également une tentative d'attaque près de Damas.","L'article évoque indirectement le stéréotype en mentionnant la reprise de Homs par les forces du régime et les attaques attribuées à des assaillants non identifiés, mais pouvant être associés à des groupes jihadistes. Cela renforce l'idée que le régime est le seul rempart contre ces groupes, sans mentionner d'autres acteurs ou alternatives."
"Syrie: le régime perd du terrain, la Russie défend  son soutien","La Russie défend son soutien militaire à Bachar al-Assad, dont l'armée est en difficulté face à Al-Qaïda et à l'Etat islamique (EI). Les forces du régime subissent des défaites dans plusieurs régions syriennes, notamment à Idleb et Deir Ezzor.","L'article présente le conflit syrien comme un duel entre le régime d'Assad et les groupes jihadistes, en particulier Al-Qaïda et l'EI. Il ne mentionne pas d'autres acteurs ou oppositions, ce qui reproduit le stéréotype en effaçant la pluralité des acteurs sur le terrain."
"Irak: des milices chiites rassemblées aux portes de Ramadi, prise par l'EI","L'article décrit les récentes pertes militaires du régime syrien face à une coalition de rebelles et de jihadistes, ainsi que les défis auxquels font face les forces gouvernementales syriennes et irakiennes face à l'EI.","L'article évoque la perte du camp militaire d'al-Mastouma par le régime syrien face à une coalition de rebelles et de jihadistes, ce qui peut être interprété comme une reproduction de l'idée que le régime d'Assad est en difficulté face à des forces jihadistes, renforçant l'idée que le conflit se résume à un duel entre Assad et Daech."
"Syrie: 46 morts à Alep, 136.000 depuis le début du conflit",L'article décrit les violences à Alep et l'échec des négociations entre le régime et l'opposition syrienne. Il mentionne les pertes humaines et les tensions entre les différentes factions.,"L'article mentionne les jihadistes parmi les forces de l'opposition, ce qui peut renforcer l'idée que l'opposition est fondamentalement islamiste ou jihadiste. Cependant, il ne traite pas directement du stéréotype principal ""Le conflit syrien se résume à un duel : soit Assad, soit Daech."""
Turquie: le fidèle Davutoglu a rempli sa mission,"L'article traite de la victoire électorale d'Ahmet Davutoglu en Turquie et de sa politique étrangère, notamment en Syrie. Il mentionne le soutien turc aux rebelles syriens, y compris les plus radicaux, et les accusations de complaisance envers l'EI.","L'article évoque le soutien turc aux rebelles syriens, y compris les plus radicaux, ce qui peut être interprété comme une reproduction de l'idée reçue selon laquelle l'opposition syrienne est fondamentalement islamiste ou jihadiste. Cependant, il ne mentionne pas explicitement le stéréotype central 'Assad ou Daech'."
